species,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year
Momotus lessonii,"Celestun - Kinchil, Yucatán, MX (20.866, -90.136)",Yucatán,20.86555,-90.13568,20/11/2021 00:00,20,11,2021
Momotus mexicanus,Sendero Arroyo Allen Lloyd,Jalisco,20.305494,-103.23904,25/02/2021 00:00,25,2,2021
Momotus coeruliceps,Parque Ecológico Cerro de Macuiltépetl,Veracruz,19.54768,-96.920135,18/07/2021 00:00,18,7,2021
Momotus mexicanus,Río Espíritu Santo--Santo Domingo Ingenio,Oaxaca,16.590261,-94.775505,18/04/2021 00:00,18,4,2021
Momotus mexicanus,PN Cañón del Sumidero--Entrada,Chiapas,16.796171,-93.09516,28/05/2021 00:00,28,5,2021
Momotus mexicanus,Camino A Río Hormiga Colorada,Morelos,18.819653,-99.29638,17/08/2021 00:00,17,8,2021
Momotus lessonii,camino al río Toribio,Veracruz,18.906652,-96.97301,06/04/2021 00:00,6,4,2021
Momotus lessonii,Zona Arqueológica Muyil (Chunyaxché),Quintana Roo,20.078562,-87.6111,14/11/2021 00:00,14,11,2021
Momotus mexicanus,"Carretera Cuernavaca - Acapulco, Huitzuco de los Figueroa MX-GRO 17.99304, -99.30761",Guerrero,17.993046,-99.30761,16/06/2021 00:00,16,6,2021
Momotus lessonii,Reserva de la Biosfera Calakmul--Camino Entrada,Campeche,18.300892,-89.84696,17/01/2021 00:00,17,1,2021
Momotus mexicanus,"Zoológico, Chilpancingo",Guerrero,17.555902,-99.50762,05/03/2021 00:00,5,3,2021
Momotus mexicanus,Ursulo Galvan loop transect,Nayarit,20.941565,-105.32772,04/11/2021 00:00,4,11,2021
Momotus mexicanus,Reserva Ecológica Sierra de San Juan--La Noria,Nayarit,21.487095,-104.9923,28/04/2021 00:00,28,4,2021
Momotus mexicanus,Cañón de Lobos,Morelos,18.862757,-99.12307,30/04/2021 00:00,30,4,2021
Momotus mexicanus,Parques Joyyo Mayu y Caña Hueca,Chiapas,16.760263,-93.143654,30/05/2021 00:00,30,5,2021
Momotus mexicanus,Malinalco--Camino a Tenancingo,México,18.95038,-99.50589,24/06/2021 00:00,24,6,2021
Momotus mexicanus,Selva El Tuito--Rancho Primavera (acceso restringido),Jalisco,20.340412,-105.3495,08/10/2021 00:00,8,10,2021
Momotus mexicanus,"14 Hidalgo, Quimichis, Nayarit, MX (22.361, -105.538)",Nayarit,22.360922,-105.53821,13/01/2021 00:00,13,1,2021
Momotus mexicanus,Reserva Ecológica Sierra de San Juan--La Noria,Nayarit,21.487095,-104.9923,29/04/2021 00:00,29,4,2021
Momotus lessonii,"Camino a Laguna Miramar Chiapas, MX (16.402, -91.317)",Chiapas,16.40216,-91.316734,07/07/2021 00:00,7,7,2021
Momotus mexicanus,Cascada del Cora,Nayarit,21.414776,-105.126945,28/04/2021 00:00,28,4,2021
Momotus mexicanus,Río Espíritu Santo--Santo Domingo Ingenio,Oaxaca,16.590261,-94.775505,11/04/2021 00:00,11,4,2021
Momotus mexicanus,"La angostura, Magón, Oaxaca, MX (16.352, -97.759)",Oaxaca,16.352367,-97.759476,07/05/2021 00:00,7,5,2021
Momotus mexicanus,Av. Anahuac Col. Costa Azul. Acapulco.,Guerrero,16.861948,-99.85037,21/06/2021 00:00,21,6,2021
Momotus coeruliceps,Parque Ecológico El Haya,Veracruz,19.520159,-96.9438,11/12/2021 00:00,11,12,2021
Momotus mexicanus,"28531, Cuauhtémoc MX-COL 19.33071, -103.64845",Colima,19.330715,-103.64845,24/04/2021 00:00,24,4,2021
Momotus mexicanus,PN Barranca de Oblatos-Huentitán--Sendero Barranca Huentitan,Jalisco,20.72493,-103.28664,11/08/2021 00:00,11,8,2021
Momotus mexicanus,Zona Arqueológica Xochicalco,Morelos,18.802786,-99.29636,18/08/2021 00:00,18,8,2021
Momotus lessonii,"Mancolona, Campeche, MX (18.805, -89.292)",Campeche,18.805332,-89.29222,15/05/2021 00:00,15,5,2021
Momotus mexicanus,"l5 Mar Mediterraneo, Cruz de Huanacaxtle, Nayarit, MX (20.761, -105.377) T-3",Nayarit,20.761436,-105.37709,14/07/2021 00:00,14,7,2021
Momotus coeruliceps,Bosque Encantado,Nuevo León,25.467722,-100.226974,09/10/2021 00:00,9,10,2021
Momotus mexicanus,PN Cañón del Sumidero,Chiapas,16.833544,-93.068535,15/07/2021 00:00,15,7,2021
Momotus lessonii,Camino a Ejido Armando Zebadua,Chiapas,16.929926,-93.472,27/03/2021 00:00,27,3,2021
Momotus mexicanus,PN Huatulco--Sendero Entrada Sur,Oaxaca,15.73313,-96.16361,09/12/2021 00:00,9,12,2021
Momotus coeruliceps,"La Palma, Tepatlaxco Veracruz, MX (19.028, -96.823)",Veracruz,19.028372,-96.82346,16/08/2021 00:00,16,8,2021
Momotus lessonii,"Reserva Toh - Plantación de madera dura (incluye vía de acceso al poniente), Se requiere permiso",Quintana Roo,20.866385,-87.0871,24/10/2021 00:00,24,10,2021
Momotus lessonii,"Reserva Toh - Plantación de madera dura (incluye vía de acceso al poniente), Se requiere permiso",Quintana Roo,20.866385,-87.0871,08/04/2021 00:00,8,4,2021
Momotus lessonii,"Yucatán, MX (20.719, -88.17)",Yucatán,20.718931,-88.16967,30/06/2021 00:00,30,6,2021
Momotus mexicanus,"2479 Boulevard Francisco Medina Ascencio, Puerto Vallarta, Jalisco, MX (20.646, -105.238)",Jalisco,20.646114,-105.23753,17/04/2021 00:00,17,4,2021
Momotus lessonii," Tekik de Regil, Yucatán, MX ",Yucatán,20.812449,-89.561935,30/07/2021 00:00,30,7,2021
Momotus mexicanus,Parques Joyyo Mayu y Caña Hueca,Chiapas,16.760263,-93.143654,19/09/2021 00:00,19,9,2021
Momotus mexicanus,rio sabinal,Chiapas,16.757948,-93.13724,01/04/2021 00:00,1,4,2021
Momotus coeruliceps,Parque Ecológico El Haya,Veracruz,19.520159,-96.9438,26/08/2021 00:00,26,8,2021
Momotus lessonii,Kíichpam K'áax – Selva Bonita,Quintana Roo,19.497042,-88.59361,22/11/2021 00:00,22,11,2021
Momotus mexicanus,Arroyo Uvalama,Sonora,27.02331,-108.97737,09/12/2021 00:00,9,12,2021
Momotus coeruliceps,"Estrella, Xalapa-Enríquez, Veracruz, MX (19.54, -96.95)",Veracruz,19.540207,-96.9503,14/03/2021 00:00,14,3,2021
Momotus lessonii,Sendero de Xocen,Yucatán,20.598595,-88.149605,06/12/2021 00:00,6,12,2021
Momotus lessonii,Zona Arqueológica Edzná,Campeche,19.59715,-90.23063,05/06/2021 00:00,5,6,2021
Momotus coeruliceps,Reserva de la Biosfera El Cielo--Centro Interpretativo Ecologico,Tamaulipas,23.066444,-99.16881,11/12/2021 00:00,11,12,2021
Momotus lessonii,Area de Protección de Flora y Fauna Nahá,Chiapas,16.97486,-91.58876,06/10/2021 00:00,6,10,2021
Momotus mexicanus,Camino Playa Patzcuaro,Nayarit,20.841827,-105.45521,05/01/2021 00:00,5,1,2021
Momotus mexicanus,Selva El Tuito--Rancho Primavera (acceso restringido),Jalisco,20.340412,-105.3495,09/05/2021 00:00,9,5,2021
Momotus mexicanus,La Patrona Polo Club-Arroyo Izotes,Nayarit,20.904104,-105.40029,15/01/2021 00:00,15,1,2021
Momotus mexicanus,Reserva Ecológica Sierra de San Juan--La Noria,Nayarit,21.487095,-104.9923,28/04/2021 00:00,28,4,2021
Momotus mexicanus,"232 Avenida De Los Plateros (18.558, -99.601)",Guerrero,18.558558,-99.601105,24/12/2021 00:00,24,12,2021
Momotus lessonii,Camino a La Aguada,Veracruz,19.042051,-96.03144,08/05/2021 00:00,8,5,2021
Momotus coeruliceps,"Tihuatlán, Veracruz, MX (20.712, -97.52)",Veracruz,20.712046,-97.520226,29/07/2021 00:00,29,7,2021
Momotus lessonii,Reserva de la Biosfera El Triunfo--Finca Prusia a Campamento,Chiapas,15.672767,-92.80083,14/01/2021 00:00,14,1,2021
Momotus lessonii,Zona Arqueológica Muyil (Chunyaxché),Quintana Roo,20.078562,-87.6111,26/02/2021 00:00,26,2,2021
Momotus lessonii,Sendero de Xocen,Yucatán,20.598595,-88.149605,05/12/2021 00:00,5,12,2021
Momotus lessonii,Río Usumacinta--Frontera Corozal a Yaxchilán,Chiapas,16.860374,-90.96647,10/06/2021 00:00,10,6,2021
Momotus mexicanus,Río Copalita--Barra de Copalita,Oaxaca,15.813158,-96.06383,11/07/2021 00:00,11,7,2021
Momotus lessonii,"Zona Arqueológica de Palenque, Palenque MX-CHIS (17.4843,-92.0476)",Chiapas,17.484276,-92.04759,22/08/2021 00:00,22,8,2021
Momotus lessonii,"Reserva Toh - Plantación de madera dura (incluye vía de acceso al poniente), Se requiere permiso",Quintana Roo,20.866385,-87.0871,15/04/2021 00:00,15,4,2021
Momotus lessonii,"Desviación Mata de Uva-El Zapote, Veracruz, MX (19.032, -95.985)",Veracruz,19.03192,-95.98503,28/05/2021 00:00,28,5,2021
Momotus mexicanus,Rio Los Perros--El Espinal,Oaxaca,16.484444,-95.047035,06/06/2021 00:00,6,6,2021
Momotus lessonii,Reserva de la Biosfera El Triunfo--Jaltenango a Finca Prusia,Chiapas,15.797092,-92.803085,05/03/2021 00:00,5,3,2021
Momotus lessonii,Pazo Burro,Chiapas,16.825842,-93.27023,21/03/2021 00:00,21,3,2021
Momotus mexicanus,Ahuisculco,Jalisco,20.573574,-103.71447,11/04/2021 00:00,11,4,2021
Momotus coeruliceps,Reserva Natural El Tejar,Veracruz,19.519053,-96.89812,09/01/2021 00:00,9,1,2021
Momotus mexicanus,Camino a ANP Piedras Bola,Jalisco,20.648048,-104.0412,04/07/2021 00:00,4,7,2021
Momotus mexicanus,"61Monte Calvario, La Cruz de Juanacaxtle",Nayarit,20.753786,-105.37983,10/12/2021 00:00,10,12,2021
Momotus mexicanus,Morelos - Quinta Sarita (hospedaje),Morelos,18.884222,-99.11921,24/04/2021 00:00,24,4,2021
Momotus lessonii,Zona Arqueológica Edzná,Campeche,19.59715,-90.23063,19/09/2021 00:00,19,9,2021
Momotus coeruliceps,Reserva Natural El Tejar,Veracruz,19.519053,-96.89812,05/02/2021 00:00,5,2,2021
Momotus mexicanus,Volcán del Ceboruco,Nayarit,21.125498,-104.50993,10/06/2021 00:00,10,6,2021
Momotus coeruliceps,Parque Ecológico El Haya,Veracruz,19.520159,-96.9438,29/12/2021 00:00,29,12,2021
Momotus mexicanus,Ventanilla (pueblo),Oaxaca,15.671259,-96.572914,27/08/2021 00:00,27,8,2021
Momotus coeruliceps,Parque Ecológico Cerro de Macuiltépetl,Veracruz,19.54768,-96.920135,24/09/2021 00:00,24,9,2021
Momotus mexicanus,"27 Calle Independencia, San Pedro Totolapa, Oaxaca, MX (16.671, -96.306)",Oaxaca,16.670807,-96.305756,10/07/2021 00:00,10,7,2021
Momotus mexicanus,Tecuitata (pueblo),Nayarit,21.451454,-105.145676,21/11/2021 00:00,21,11,2021
Momotus lessonii,Hotel Oka'an,Yucatán,20.67262,-88.541176,22/11/2021 00:00,22,11,2021
Momotus mexicanus,Camino Arroyo seco,Nayarit,20.757235,-105.38546,25/01/2021 00:00,25,1,2021
Momotus mexicanus,"Unnamed Road, Estado de México, MX (18.748, -99.63)",México,18.748217,-99.62954,07/08/2021 00:00,7,8,2021
Momotus coeruliceps,Reserva de la Biosfera El Cielo — Gómez Farias-Azteca road,Tamaulipas,23.071451,-99.16402,29/05/2021 00:00,29,5,2021
Momotus mexicanus,Selva El Tuito--Rancho Primavera (acceso restringido),Jalisco,20.340412,-105.3495,18/03/2021 00:00,18,3,2021
Momotus lessonii,Zona Arqueológica Muyil (Chunyaxché),Quintana Roo,20.078562,-87.6111,06/06/2021 00:00,6,6,2021
Momotus lessonii,"Calle 24, Tekit, Yucatán, MX (20.543, -89.33)",Yucatán,20.543203,-89.32966,24/01/2021 00:00,24,1,2021
Momotus mexicanus,"Calle Lino Reyes, Tecolapa, Colima, MX (19.019, -103.826)",Colima,19.019466,-103.82607,06/08/2021 00:00,6,8,2021
Momotus coeruliceps,Parque Ecológico El Haya,Veracruz,19.520159,-96.9438,17/05/2021 00:00,17,5,2021
Momotus lessonii,Camino Nuevo Tekal,Yucatán,21.443464,-87.70856,06/04/2021 00:00,6,4,2021
Momotus coeruliceps,Parque Ecológico El Haya,Veracruz,19.520159,-96.9438,29/12/2021 00:00,29,12,2021
Momotus lessonii,Carretera a Mata de Uva,Veracruz,19.038746,-95.977455,02/05/2021 00:00,2,5,2021
Momotus mexicanus,Rio Los Perros--El Espinal,Oaxaca,16.484444,-95.047035,22/05/2021 00:00,22,5,2021
Momotus lessonii,Carretera a Antón Lizardo,Veracruz,19.043205,-95.98598,17/07/2021 00:00,17,7,2021
Momotus mexicanus,"Tepoztlán, Casa Denisse, Mx",Morelos,18.982689,-99.104836,22/08/2021 00:00,22,8,2021
Momotus lessonii,PN Cañón del Sumidero,Chiapas,16.833544,-93.068535,08/05/2021 00:00,8,5,2021
Momotus mexicanus,"Unnamed Road, Morelos, MX (18.814, -99.294)",Morelos,18.813913,-99.294106,01/08/2021 00:00,1,8,2021
Momotus lessonii,"Carretera a Patelna, Salto de Agua MX-CHIS (17.3932,-92.0000)",Chiapas,17.393162,-92.000015,25/08/2021 00:00,25,8,2021
Momotus mexicanus,"Tepals Waterfall Loop, Ajijic MX-JAL",Jalisco,20.306133,-103.25706,08/05/2021 00:00,8,5,2021
Momotus coeruliceps,Parque Ecológico Cerro de Macuiltépetl,Veracruz,19.54768,-96.920135,08/10/2021 00:00,8,10,2021
Momotus mexicanus,"Santiago Tetepec, Oaxaca, MX (16.319, -97.75)",Oaxaca,16.318684,-97.750374,07/02/2021 00:00,7,2,2021
Momotus mexicanus,"Mirador  Sendero Candelabro MX (15.811, -96.072)",Oaxaca,15.811304,-96.072395,10/10/2021 00:00,10,10,2021
Momotus mexicanus,"Calle Galeana, San Sebastián del Oeste MX-JAL 20.75914, -104.84573",Jalisco,20.759142,-104.84573,31/01/2021 00:00,31,1,2021
Momotus coeruliceps,Parque Ecológico Cerro de Macuiltépetl,Veracruz,19.54768,-96.920135,06/10/2020 00:00,6,10,2020
Momotus mexicanus,"Las Ruinas de Xochicalco, Xochicalco, Morelos, MX (18.789, -99.298)",Morelos,18.789267,-99.297905,17/04/2021 00:00,17,4,2021
Momotus lessonii,Centro Ecoturístico Tres Lagunas,Chiapas,16.84371,-91.14562,16/04/2021 00:00,16,4,2021
Momotus mexicanus,Puerto Arista--Pueblo y Playa,Chiapas,15.933219,-93.810005,20/03/2021 00:00,20,3,2021
Momotus mexicanus,"Sendero al Mirador, Grutas de la Estrella (18.746, -99.633)",México,18.745886,-99.63282,11/04/2021 00:00,11,4,2021
Momotus coeruliceps,Reserva de la Biosfera El Cielo--Centro Interpretativo Ecologico,Tamaulipas,23.066444,-99.16881,02/09/2021 00:00,2,9,2021
Momotus mexicanus,Selva El Tuito--Rancho Primavera (acceso restringido),Jalisco,20.340412,-105.3495,25/03/2021 00:00,25,3,2021
Momotus mexicanus,Reserva Ecológica Sierra de San Juan--La Noria,Nayarit,21.487095,-104.9923,28/04/2021 00:00,28,4,2021
Momotus lessonii,Cenote Yalcobá,Yucatán,20.790642,-88.03876,05/08/2021 00:00,5,8,2021
Momotus lessonii,Camino del Ejido Juárez (desvío km 21 +600 carretera Tuxtla-Chicoasén),Chiapas,16.910177,-93.179214,27/06/2021 00:00,27,6,2021
Momotus mexicanus,Terracería La Palma-Tecuitata,Nayarit,21.475275,-105.1595,22/04/2021 00:00,22,4,2021
Momotus mexicanus,"Unnamed Road, Chiapas, MX (15.825, -92.968)",Chiapas,15.825055,-92.967575,16/07/2021 00:00,16,7,2021
Momotus lessonii,Río Atliyac--Paso De Ovejas,Veracruz,19.28477,-96.43458,24/06/2021 00:00,24,6,2021
Momotus mexicanus,Río Espíritu Santo--Santo Domingo Ingenio,Oaxaca,16.590261,-94.775505,18/04/2021 00:00,18,4,2021
Momotus mexicanus,"Calle Valle de Santana 169, Tlajomulco de Zúñiga MX-JAL 20.59150, -103.44930",Jalisco,20.591497,-103.4493,13/02/2021 00:00,13,2,2021
Momotus lessonii,Cenote de Camino a Chunchucmil,Yucatán,20.813454,-90.19635,16/01/2021 00:00,16,1,2021
Momotus mexicanus,"Unnamed Road, Morelos, MX (18.707, -99.246)",Morelos,18.706543,-99.245705,31/05/2021 00:00,31,5,2021
Momotus mexicanus,Camino a Piscila,Colima,19.18572,-103.700005,09/05/2021 00:00,9,5,2021
Momotus lessonii,Reserva de la Biosfera El Triunfo--Finca Prusia a Campamento,Chiapas,15.672767,-92.80083,05/03/2021 00:00,5,3,2021
Momotus mexicanus,Selva El Tuito--Rancho Primavera (acceso restringido),Jalisco,20.340412,-105.3495,01/04/2021 00:00,1,4,2021
Momotus coeruliceps,"Camino al Mirador, Coatepec MX-VER 19.45937, -96.96311",Veracruz,19.459373,-96.96311,27/07/2021 00:00,27,7,2021
Momotus mexicanus,Laguna Ventanilla,Oaxaca,15.670555,-96.58025,07/12/2021 00:00,7,12,2021
Momotus mexicanus,Ruta de campos y lagunas Matanchen,Nayarit,21.513226,-105.20302,07/05/2021 00:00,7,5,2021
Momotus mexicanus,Comon Yaj Noptic,Chiapas,15.863794,-92.94801,17/02/2021 00:00,17,2,2021
Momotus mexicanus,"Paseo de los Pinos Verdes 104, Puerto Vallarta MX-JAL 20.59291, -105.23988",Jalisco,20.59291,-105.239876,31/05/2021 00:00,31,5,2021
Momotus lessonii,Zona Arqueológica Muyil (Chunyaxché),Quintana Roo,20.078562,-87.6111,22/05/2021 00:00,22,5,2021
Momotus mexicanus,Sendero Arroyo Allen Lloyd,Jalisco,20.305494,-103.23904,03/02/2021 00:00,3,2,2021
Momotus lessonii,"Candelaria -Escárcega, Miguel Alemán, Campeche, MX (18.24, -90.955)",Campeche,18.240189,-90.95533,08/05/2021 00:00,8,5,2021
Momotus coeruliceps,El Veladero,San Luis Potosí,22.121344,-99.18038,08/05/2021 00:00,8,5,2021
Momotus mexicanus,Terracería La Palma-Tecuitata,Nayarit,21.475275,-105.1595,30/04/2021 00:00,30,4,2021
Momotus mexicanus,Río Espíritu Santo--Santo Domingo Ingenio,Oaxaca,16.590261,-94.775505,05/05/2021 00:00,5,5,2021
Momotus mexicanus,Arroyo Uvalama,Sonora,27.02331,-108.97737,09/12/2021 00:00,9,12,2021
Momotus mexicanus,Jiquipilas: El Aguacero,Chiapas,16.763157,-93.527695,23/02/2021 00:00,23,2,2021
Momotus lessonii,Sendero El Pirú,Chiapas,16.100473,-90.83561,16/03/2021 00:00,16,3,2021
Momotus coeruliceps,Parque Ecológico El Haya,Veracruz,19.520159,-96.9438,30/03/2021 00:00,30,3,2021
Momotus lessonii,Parque Arqueo-ecológico del Poniente,Yucatán,20.97815,-89.668755,26/09/2021 00:00,26,9,2021
Momotus lessonii,Reserva de la Biosfera El Triunfo--Campamento El Quetzal,Chiapas,15.720762,-92.93928,17/02/2021 00:00,17,2,2021
Momotus mexicanus,Río Espíritu Santo--Santo Domingo Ingenio,Oaxaca,16.590261,-94.775505,07/04/2021 00:00,7,4,2021
Momotus mexicanus,san pancho house,Nayarit,20.89976,-105.410446,18/01/2021 00:00,18,1,2021
Momotus mexicanus,Seleccionado automáticamente,Morelos,18.71126,-98.853264,21/05/2021 00:00,21,5,2021
Momotus mexicanus,Track to Rio Copalita,Oaxaca,15.805137,-96.05519,24/05/2021 00:00,24,5,2021
Momotus mexicanus,Río Cuautla--Cuautla,Morelos,18.808802,-98.94916,11/07/2021 00:00,11,7,2021
Momotus lessonii,"Tekik de Regil, Yucatán, MX (20.812, -89.562)",Yucatán,20.812475,-89.56191,31/10/2021 00:00,31,10,2021
Momotus mexicanus,Zoológico Miguel Alvarez del Toro,Chiapas,16.724445,-93.09778,19/03/2021 00:00,19,3,2021
Momotus lessonii,"Carretera Bethania-Nachehá, Campeche MX-CAMP 19.90142, -90.35530",Campeche,19.901423,-90.35529,16/06/2021 00:00,16,6,2021
Momotus lessonii,Prana,Quintana Roo,20.89509,-87.12282,27/03/2021 00:00,27,3,2021
Momotus mexicanus,Parque Ecologico Rufino Tamayo,Oaxaca,15.769275,-96.13564,16/12/2021 00:00,16,12,2021
Momotus mexicanus,Restaurant Familiar Los Palmas,Jalisco,20.004028,-105.14225,05/06/2021 00:00,5,6,2021
Momotus lessonii,"Tekik de Regil, Yucatán, MX (20.812, -89.562)",Yucatán,20.812475,-89.56191,18/09/2021 00:00,18,9,2021
Momotus mexicanus,"Unnamed Road, Oaxaca, MX (15.741, -96.148)",Oaxaca,15.740865,-96.14847,22/05/2021 00:00,22,5,2021
Momotus lessonii,Uxmal Resort Maya,Yucatán,20.376791,-89.77134,18/11/2021 00:00,18,11,2021
Momotus mexicanus,Selva El Tuito--Rancho Primavera (acceso restringido),Jalisco,20.340412,-105.3495,06/07/2021 00:00,6,7,2021
Momotus mexicanus,"Unnamed Road, Morelos, MX (18.707, -99.246)",Morelos,18.706581,-99.24646,01/06/2021 00:00,1,6,2021
Momotus mexicanus,Presa de Los Serna,Aguascalientes,21.82161,-102.839676,14/08/2021 00:00,14,8,2021
Momotus mexicanus,PN Huatulco,Oaxaca,15.783958,-96.179085,29/01/2021 00:00,29,1,2021
Momotus lessonii,"Reserva Toh - Plantación de madera dura (incluye vía de acceso al poniente), Se requiere permiso",Quintana Roo,20.866385,-87.0871,25/05/2021 00:00,25,5,2021
Momotus lessonii,N Santa Clara,Yucatán,21.271065,-87.61713,22/09/2021 00:00,22,9,2021
Momotus mexicanus,Cerro Mactumatzá,Chiapas,16.723028,-93.13658,09/10/2021 00:00,9,10,2021
Momotus mexicanus,Malinalco--Camino a Tenancingo,México,18.95038,-99.50589,22/06/2021 00:00,22,6,2021
Momotus mexicanus,Rio Los Perros--El Espinal,Oaxaca,16.484444,-95.047035,08/05/2021 00:00,8,5,2021
Momotus mexicanus,Terracería La Palma-Tecuitata,Nayarit,21.475275,-105.1595,26/09/2021 00:00,26,9,2021
Momotus mexicanus,Sendero el Candelabro (acceso restringido),Oaxaca,15.809492,-96.07491,17/09/2021 00:00,17,9,2021
Momotus lessonii,Hotel Oka'an,Yucatán,20.67262,-88.541176,23/09/2021 00:00,23,9,2021
Momotus lessonii,Sima de las Cotorras,Chiapas,16.807852,-93.47507,17/04/2021 00:00,17,4,2021
Momotus lessonii,Punta Tiburón,Veracruz,19.064056,-96.099976,30/08/2021 00:00,30,8,2021
Momotus lessonii,Area de Protección de Flora y Fauna Metzabok,Chiapas,17.11069,-91.61966,25/06/2021 00:00,25,6,2021
Momotus mexicanus,ANP Sierra del Águila--Arroyo Las Pilas,Jalisco,20.713228,-104.04367,12/09/2021 00:00,12,9,2021
Momotus lessonii,Las Palmas-San Marcial por Arroyo Toribio,Veracruz,18.907347,-96.96277,20/03/2021 00:00,20,3,2021
Momotus lessonii,Kantunilkin,Quintana Roo,21.1,-87.48667,13/02/2021 00:00,13,2,2021
Momotus lessonii,"-Calakmul Zona Arqueológica, Campeche, MX (18.113, -89.801)",Campeche,18.112938,-89.8013,23/01/2021 00:00,23,1,2021
Momotus mexicanus,"Santiago Tetepec, Oaxaca, MX (16.321, -97.747)",Oaxaca,16.321152,-97.74743,06/04/2020 00:00,6,4,2020
Momotus mexicanus,Rio Pitillal--Puerto Vallarta,Jalisco,20.64933,-105.22851,11/11/2021 00:00,11,11,2021
Momotus mexicanus,Burnams Nest,Morelos,18.893353,-99.16067,18/06/2021 00:00,18,6,2021
Momotus lessonii,"Unnamed Road, Veracruz, MX (19.087, -96.137)",Veracruz,19.086798,-96.1366,18/02/2021 00:00,18,2,2021
Momotus mexicanus,Sendero de La Cascada Tépalos,Jalisco,20.30708,-103.25622,24/05/2021 00:00,24,5,2021
Momotus mexicanus,"Carretera Oaxaca-Tehuantepec, Road 190 KM 77",Oaxaca,16.69363,-96.32028,22/12/2021 00:00,22,12,2021
Momotus mexicanus,PN Huatulco--Sendero Cruz del Monte,Oaxaca,15.755188,-96.15261,23/05/2021 00:00,23,5,2021
Momotus mexicanus,Rio Pitillal--Desembocadura,Jalisco,20.643524,-105.2409,03/02/2021 00:00,3,2,2021
Momotus lessonii,"Camino De Milpas, MX (20.801, -87.479)",Quintana Roo,20.801239,-87.4792,14/07/2021 00:00,14,7,2021
Momotus lessonii,Komchen de Los Pajaros,Yucatán,21.214981,-89.33627,21/03/2021 00:00,21,3,2021
Momotus mexicanus,Camino Bioto,Jalisco,20.284098,-105.376564,06/07/2021 00:00,6,7,2021
Momotus mexicanus,Playa Ventanilla,Oaxaca,15.668958,-96.57877,27/03/2021 00:00,27,3,2021
Momotus mexicanus,"Unnamed Road, Sinaloa, MX (24.926, -107.39)",Sinaloa,24.92582,-107.390236,06/12/2021 00:00,6,12,2021
Momotus mexicanus,"Tropical Forest, Puerto Vallarta",Jalisco,20.703674,-105.19959,04/12/2021 00:00,4,12,2021
Momotus lessonii,"Tekit, Yucatán",Yucatán,20.542925,-89.34806,07/02/2021 00:00,7,2,2021
Momotus lessonii," Tekik de Regil, Yucatán, MX ",Yucatán,20.812449,-89.561935,23/06/2021 00:00,23,6,2021
Momotus lessonii,Area de Protección de Flora y Fauna Nahá,Chiapas,16.97486,-91.58876,22/02/2021 00:00,22,2,2021
Momotus lessonii,"Unnamed Road, Veracruz, MX (19.085, -96.138)",Veracruz,19.084906,-96.138275,16/02/2021 00:00,16,2,2021
Momotus lessonii,El maguey,Veracruz,18.834404,-96.724556,20/06/2021 00:00,20,6,2021
Momotus mexicanus,Cerca del panteón municipal,Chiapas,16.167143,-92.19105,04/09/2021 00:00,4,9,2021
Momotus mexicanus,"Unnamed Road, Guerrero, MX (17.236, -100.435)",Guerrero,17.236275,-100.43475,22/04/2021 00:00,22,4,2021
Momotus mexicanus,Casa de Niños Alrededores,Nayarit,21.485983,-104.91436,23/01/2021 00:00,23,1,2021
Momotus mexicanus,Parque Ecológico La Campana,Colima,19.270735,-103.72472,26/05/2021 00:00,26,5,2021
Momotus coeruliceps,Parque Ecológico Cerro de Macuiltépetl,Veracruz,19.54768,-96.920135,02/05/2021 00:00,2,5,2021
Momotus lessonii,"Tekik de Regil, camino granja",Yucatán,20.82443,-89.56323,05/05/2021 00:00,5,5,2021
Momotus mexicanus,Acatitan (pueblo),Sinaloa,24.088837,-106.6489,08/05/2021 00:00,8,5,2021
Momotus lessonii,PN Cañón del Sumidero--Mirador El Roblar,Chiapas,16.83457,-93.077736,15/08/2021 00:00,15,8,2021
Momotus mexicanus,"Amatlán de Quetzalcoatl, Morelos, MX (18.967, -99.043)",Morelos,18.9668,-99.042946,07/08/2021 00:00,7,8,2021
Momotus mexicanus,"63734, Bahía de Banderas MX-NAY (20.7540,-105.3768)",Nayarit,20.753994,-105.376785,20/03/2021 00:00,20,3,2021
Momotus mexicanus,Copala (town),Sinaloa,23.396843,-105.93507,08/05/2021 00:00,8,5,2021
Momotus lessonii,"Camino Kin Ha, Benito Juárez MX-QROO 20.87078, -87.08731",Quintana Roo,20.87078,-87.08731,06/03/2021 00:00,6,3,2021
Momotus mexicanus,FEPO trapping 9May2021 morning,Jalisco,19.817083,-104.21636,09/05/2021 00:00,9,5,2021
Momotus mexicanus,Rio Los Perros--El Espinal,Oaxaca,16.484444,-95.047035,08/05/2021 00:00,8,5,2021
Momotus mexicanus,"Parque Alameda, Chilpancingo",Guerrero,17.55596,-99.504036,04/04/2021 00:00,4,4,2021
Momotus coeruliceps,Parque Ecológico Cerro de Macuiltépetl,Veracruz,19.54768,-96.920135,02/05/2021 00:00,2,5,2021
Momotus lessonii,APFF CHAN-KIN -- Rio Usumacinta,Chiapas,16.65828,-90.67529,17/05/2021 00:00,17,5,2021
Momotus mexicanus,Lagunillas - camino,Guerrero,17.817423,-101.719246,03/03/2021 00:00,3,3,2021
